GridID,rho_roe,n_roe,rho_moose,n_moose,rho_wolf,n_wolf
1,0.3,5.0,,,,
2,0.06082299535498801,15.0,-0.19694638556693236,10.0,,
3,-0.04054066290990013,17.0,0.03571428571428572,7.0,,
4,-0.42424403404760963,13.0,,,,
12,0.1692213684099166,17.0,,,0.48571428571428577,6.0
13,0.8666666666666667,9.0,,,,
14,,,-0.4184137043778615,9.0,,
15,0.5034392658108675,13.0,0.12814947284335323,11.0,,
16,0.7944613465542746,6.0,-0.03571428571428572,7.0,,
17,,,-0.7425282823862205,8.0,,
23,-0.1545064668090543,17.0,,,0.03571428571428572,7.0
24,-0.049518616309265656,13.0,,,0.35909242322980395,5.0
25,0.3666666666666667,9.0,0.3726779962499649,11.0,,
32,0.13698772949316693,11.0,,,,
33,-0.23127809407900063,14.0,,,,
34,0.39285714285714296,7.0,,,,
35,-0.24422457022770952,14.0,0.19432508268938875,12.0,,
36,0.6121212121212121,10.0,-0.07453559924999299,11.0,-0.33333333333333337,9.0
37,-0.07142857142857144,8.0,-0.2613993837824278,10.0,,
38,0.04761904761904763,8.0,-0.24601430569223082,11.0,,
39,,,0.7,5.0,,
40,0.6833333333333333,9.0,0.22314134258348303,13.0,,
41,0.41666666666666663,9.0,0.3404271044608361,10.0,,
45,0.13953510699085486,15.0,,,,
46,0.48901098901098894,13.0,,,,
47,0.19999999999999998,5.0,,,,
48,-0.19006747901113824,17.0,0.0,9.0,,
49,-0.4194261621149979,16.0,-0.15205748838747002,15.0,-0.3142857142857143,6.0
50,-0.4090909090909091,11.0,0.4346634098257763,13.0,,
51,0.75,9.0,0.12300715284611541,11.0,,
52,-0.2380952380952381,8.0,-0.11228139293160061,12.0,,
53,0.8095238095238096,8.0,,,,
54,-0.29940656547831473,8.0,,,-0.3162277660168379,7.0
55,0.4642857142857144,7.0,,,0.28571428571428575,7.0
56,-0.3234632537805257,11.0,,,,
57,-0.0035778232561757646,15.0,,,,
58,0.17272727272727276,11.0,-0.07149243247970777,15.0,,
59,-0.13186813186813187,13.0,-0.4523809523809524,8.0,,
61,-0.08583692600503016,17.0,0.2616504261974187,15.0,,
62,-0.4730392156862746,17.0,-0.12076596307706751,16.0,,
63,-0.35784313725490197,17.0,0.08541982754231603,16.0,-0.05797710356524484,6.0
64,0.5272727272727272,10.0,,,,
65,0.2553203283456271,10.0,,,0.34372003129816553,8.0
66,-0.21428571428571433,7.0,,,-0.1454785934906616,7.0
67,-0.3,5.0,0.2298858879579341,12.0,-0.4660965450470673,12.0
68,0.06694619270045785,9.0,-0.10844160586017297,8.0,0.898645105261295,6.0
69,-0.1758241758241758,13.0,-0.14030274620958605,13.0,-0.6,5.0
70,0.24835164835164836,14.0,-0.19145823414657043,16.0,,
71,-0.45054945054945056,14.0,0.04840486977486136,14.0,,
72,-0.36363636363636365,11.0,-0.15899720766358738,9.0,,
77,-0.03571428571428572,7.0,,,,
78,0.5166666666666667,9.0,0.3333333333333334,8.0,,
79,-0.23680999421136162,17.0,0.14081416661777849,14.0,0.3039527718400323,10.0
80,-0.47484698321138313,17.0,0.07361968731959428,17.0,0.5030303030303029,10.0
81,0.594596389345202,17.0,0.24417196294332102,17.0,0.24848484848484845,10.0
82,0.07152689022449482,13.0,0.2728274478219458,14.0,0.2333333333333333,9.0
83,0.2255848076310991,13.0,0.38096382766685455,14.0,-0.21733170491288814,13.0
84,-0.4761904761904762,8.0,0.5365953413208115,10.0,0.07056267926287536,14.0
85,,,-0.21821789023599242,7.0,0.33099412314587934,12.0
86,0.07005264683383464,12.0,-0.32626758153294716,12.0,0.07339758434175737,10.0
87,-0.4285714285714286,6.0,0.049999999999999996,9.0,,
88,0.5980392156862745,17.0,-0.11438789196753243,15.0,,
89,0.2855041243870512,16.0,-0.6082299535498801,15.0,,
90,-0.17881722556123708,13.0,0.3503129191505681,15.0,,
91,-0.4435185266405332,9.0,-0.03347309635022892,9.0,,
92,-0.1338923854009157,9.0,0.49999999999999994,5.0,,
101,-0.4755244755244756,12.0,0.049999999999999996,9.0,,
102,-0.5956043956043956,14.0,0.6643356643356644,12.0,,
103,-0.7178571428571427,15.0,0.690909090909091,11.0,,
104,0.0,11.0,0.6166666666666666,9.0,0.09107651110783746,6.0
105,0.4090909090909091,11.0,-0.4010989010989011,13.0,-0.3214285714285715,7.0
106,0.29422111670210543,12.0,-0.43333333333333335,9.0,0.20909090909090913,11.0
107,-0.3046358440624721,16.0,-0.02227831971697517,17.0,0.39780219780219783,14.0
108,0.1626452838913352,15.0,-0.09421279329352286,15.0,0.002197802197802198,14.0
109,0.6560381485126155,11.0,0.5239340179373893,12.0,-0.01751316170845866,12.0
110,,,0.5448041796855991,9.0,0.07890351548930151,11.0
111,,,0.7200956350509238,15.0,0.35634832254989923,7.0
112,0.9642857142857145,7.0,-0.060976743331910416,10.0,,
113,-0.7,5.0,-0.33333333333333337,9.0,,
114,0.08571428571428573,6.0,0.0,7.0,,
115,0.3333333333333334,8.0,-0.5487906899871938,10.0,,
116,-0.14545454545454548,11.0,-0.1188811188811189,12.0,,
117,,,0.02727272727272728,11.0,,
118,-0.8108437164260032,7.0,-0.07355527917552636,12.0,,
119,-0.38181818181818183,10.0,-0.007155646512351529,15.0,,
120,0.5384168018354654,17.0,-0.23097666116864826,15.0,,
121,0.3421666902363703,14.0,0.538248951839554,10.0,,
132,0.4523809523809524,8.0,-0.48571428571428577,6.0,,
133,-0.4090909090909091,11.0,0.21666666666666667,9.0,,
134,0.642857142857143,7.0,0.28571428571428575,7.0,,
135,0.06993006993006995,12.0,0.2912087912087912,13.0,,
136,-0.19047619047619052,8.0,0.46363636363636374,11.0,,
137,0.21428571428571433,7.0,0.30952380952380953,8.0,,
138,0.8999999999999998,5.0,0.0,5.0,,
139,-0.3,5.0,,,,
140,,,0.4285714285714286,8.0,-0.6,5.0
141,,,0.6272727272727273,11.0,0.48571428571428577,6.0
142,,,0.2702812388086677,7.0,,
143,,,0.3825250365249237,11.0,,
144,,,0.9369749612033815,7.0,,
146,-0.7,5.0,,,,
147,0.7,5.0,0.4285714285714286,6.0,,
149,-0.19999999999999998,5.0,,,,
150,,,-0.21428571428571433,7.0,,
151,,,-0.33473096350228926,9.0,,
152,,,0.1666666666666667,8.0,,
153,0.48181205582971587,7.0,-0.0412676026892078,16.0,,
154,-0.396412483586046,7.0,-0.18293462574874064,17.0,,
155,0.6483186907191012,11.0,-0.298786042326361,10.0,,
166,-0.5428571428571429,14.0,,,,
167,-0.8181818181818182,11.0,0.20682080721986212,14.0,,
168,-0.9833333333333333,9.0,0.3214285714285715,7.0,,
169,-0.4285714285714286,8.0,0.6153846153846153,13.0,,
170,0.261904761904762,8.0,-0.642857142857143,7.0,,
171,-0.38333333333333336,9.0,0.1785714285714286,7.0,,
172,-0.11818181818181818,11.0,0.12967032967032965,14.0,,
173,-0.6,6.0,0.42857142857142866,7.0,,
174,0.4642857142857144,7.0,-0.8207826816681234,5.0,,
175,0.3666666666666667,9.0,-0.14285714285714288,6.0,,
176,,,-0.7065994945288229,8.0,,
177,0.7,5.0,-0.39999999999999997,5.0,,
179,,,-0.14285714285714288,6.0,,
180,,,-0.09999999999999999,5.0,,
183,0.8072875102923989,8.0,-0.3571428571428572,7.0,,
185,,,0.09999999999999999,5.0,,
186,,,-0.7,5.0,,
188,,,0.5357142857142858,7.0,,
190,0.030358837035945815,6.0,0.12929860925197142,13.0,,
191,,,0.3109353485219266,9.0,,
192,0.025210974204480537,9.0,-0.4812172279556404,15.0,,
193,,,-0.6,6.0,,
194,,,-0.753702346348183,6.0,,
204,-0.6428571428571429,8.0,0.28571428571428575,7.0,,
205,-0.5714285714285715,7.0,-0.09999999999999999,5.0,,
206,-0.8095238095238096,8.0,0.08571428571428573,6.0,,
207,-0.14285714285714288,7.0,0.14285714285714288,6.0,,
208,-0.1398601398601399,12.0,-0.3333333333333334,8.0,,
209,-0.2380952380952381,8.0,0.6190476190476191,8.0,,
210,0.35,9.0,-0.19999999999999998,5.0,,
211,0.48571428571428577,6.0,-0.1785714285714286,7.0,,
212,-0.08571428571428573,6.0,-0.5357142857142858,7.0,,
213,0.6,5.0,-0.942857142857143,6.0,,
215,,,-0.8999999999999998,5.0,,
216,0.08571428571428573,6.0,0.42857142857142866,7.0,,
217,-0.2571428571428572,6.0,-0.08571428571428573,6.0,,
227,,,0.07142857142857144,7.0,,
229,,,0.13333333333333333,9.0,,
230,,,-0.25941649671427414,9.0,,
232,,,-0.7714285714285715,6.0,,
233,,,0.4498501023232478,10.0,,
234,,,0.5714285714285715,8.0,,
244,0.04761904761904763,8.0,-0.01978021978021978,14.0,,
245,-0.4642857142857144,7.0,0.7857142857142859,7.0,,
246,-0.09523809523809526,8.0,-0.38095238095238104,8.0,,
247,0.07142857142857144,7.0,-0.14285714285714288,6.0,,
248,0.3,9.0,-0.13939393939393938,10.0,,
249,-0.11904761904761905,8.0,,,,
